,OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES,PART_REMOVAL
1,VST,478,737,23,UV1QK3PU,VCFF5E1530,SJBEPWN,6/13/2016 02:54:51 PM,10/9/2018,16,9,366.0,74.0,2325,2410,1
2,VST,478,737,34,70J139RY,INMPMQTE8V,S49E8WE,2/23/2019 04:42:00 PM,2/25/2019,18,1,1.0,1.0,8,8,1
3,VST,479,737,46,2562CGF4,6HAG5HHU8K,S3TRZMY,10/11/2016 11:32:53 PM,10/26/2016,19,2,7.0,3.0,24,37,0
4,VST,479,737,22,ZPYPBIS7,Y4OG6SEB7W,SK7M6J3,5/10/2017 07:57:00 AM,5/11/2017,20,1,68.0,3.0,6,185772,1
5,VST,479,737,34,0B34RUZA,8EBJKNHVJ0,SAF0SI3,12/20/2017 08:34:00 AM,7/7/2019,20,2,222.0,12.0,1352,1352,1
6,VST,478,737,21,T478ZQSY,XCOBO1EDAB,STQ7059,8/11/2017 04:22:00 PM,8/11/2017,17,0,68.0,12.0,0,0,1
7,VST,478,737,23,D8AYE21Y,XUWVF4E20O,SKT8SPB,7/3/2017 11:04:00 PM,7/3/2017,17,0,68.0,12.0,0,2543,0
8,VST,478,737,35,JXK1JF3A,LGKCSK7X1K,S5UZMMI,5/21/2019 07:04:00 AM,6/28/2019,19,0,12.0,12.0,100,1532,0
9,VST,479,737,22,UP1BR74P,42X6ETXLOY,S0FGK20,10/22/2016 04:59:38 PM,10/22/2016,19,0,68.0,12.0,0,0,0
10,VST,479,737,34,0B34RUZA,8EBJKNHVJ0,SA68826,9/26/2017 11:52:00 PM,12/20/2017,20,4,54.0,12.0,209,1082,0
11,VST,479,737,34,70J139RY,ZOUUAQU4LQ,SHW8NU7,7/7/2018 03:00:00 PM,8/24/2018,21,0,26.0,12.0,118,2079,0
12,VST,835,737,26,Z0419Y6Y,QQV6XFVYD8,S58YDVG,7/28/2017 02:04:00 PM,7/28/2017,20,0,68.0,12.0,0,0,0
13,VST,478,737,23,D8AYE21Y,XUWVF4E20O,SKT8SPB,7/3/2017 11:04:00 PM,7/3/2017,17,0,68.0,12.0,0,2543,1
14,VST,478,737,34,HCRRNBLY,RLYUP9WH7V,S9UOU0K,7/2/2016 02:43:22 PM,8/6/2016,16,0,27.0,4.0,120,120,1
15,VST,835,737,21,X5JTS6Y8,MXWCJWOZE1,SXJOODX,4/3/2018 05:21:00 PM,4/18/2018,20,0,8.0,4.0,0,0,1
16,VST,835,737,22,ZPYPBIS7,Y4OG6SEB7W,SXOQWRT,7/5/2017 10:00:00 AM,7/6/2017,20,2,68.0,1.0,6,1115,0
17,VST,955,737,22,ZPYPBIS7,Y4OG6SEB7W,S8TD751,12/22/2015 05:51:40 PM,12/22/2015,16,0,68.0,1.0,0,0,0
18,VST,955,737,23,D8AYE21Y,XUWVF4E20O,SMZ3UYR,12/9/2015 10:32:15 AM,5/27/2016,16,4,108.0,20.0,619,10041,0
19,VST,955,737,23,D8AYE21Y,XUWVF4E20O,SMZ3UYR,6/17/2016 09:03:26 AM,5/6/2018,16,9,335.0,93.0,1908,11949,1
20,VST,955,737,34,0B34RUZA,8EBJKNHVJ0,SA68826,3/16/2018 04:00:00 PM,6/7/2018,18,2,51.0,1.0,274,1356,0
21,VST,835,737,34,0B34RUZA,8EBJKNHVJ0,S9WOOGN,8/10/2017 05:26:00 PM,11/13/2017,20,0,32.0,1.0,225,225,0
22,VST,835,737,34,0B34RUZA,8EBJKNHVJ0,SY0NDUD,11/13/2017 04:49:00 AM,1/13/2018,20,0,23.0,1.0,206,2122,0
